image,label,original_image
img_00001.jpg,Tomato___Bacterial_spot,bcffc5ba-6602-455f-a84c-eb0ad85672bc___UF.GRC_BS_Lab Leaf 0373.JPG
img_00002.jpg,Tomato___Bacterial_spot,2f3e2c44-a83b-4f72-a831-ac42aec1020e___UF.GRC_BS_Lab Leaf 0211.JPG
img_00003.jpg,Tomato___healthy,0c4b06d5-4053-44fc-99b6-504934fdd3a9___GH_HL Leaf 199.1.JPG
img_00004.jpg,Tomato___Leaf_Mold,ebe5c5c5-7e29-4aa7-bc0b-f895b5bc3d20___Crnl_L.Mold 6676.JPG
img_00005.jpg,Tomato___Leaf_Mold,bc374eed-3802-4ffe-9339-47e04a74a648___Crnl_L.Mold 9181_180deg.JPG
img_00006.jpg,Tomato___Leaf_Mold,d568ebda-a7c9-43dc-8afe-41778448d54a___Crnl_L.Mold 6696_180deg.JPG
img_00007.jpg,Tomato___Bacterial_spot,9de6c73c-49a3-4cd4-bc44-283a96b12328___GCREC_Bact.Sp 3574.JPG
img_00008.jpg,Tomato___Early_blight,c21e480d-8263-4b9c-b429-4beceb2cb7d0___RS_Erly.B 8292.JPG
img_00009.jpg,Tomato___Bacterial_spot,8897f549-538f-46d9-a2f7-53eb07e7f89d___UF.GRC_BS_Lab Leaf 8885.JPG
img_00010.jpg,Tomato___Late_blight,97e49ab1-3159-4659-9954-518c94690a9e___RS_Late.B 5534.JPG
img_00011.jpg,Tomato___Leaf_Mold,a6bf45f7-1928-4a3a-98cc-74c4b948cb4d___Crnl_L.Mold 8834_180deg.JPG
img_00012.jpg,Tomato___Early_blight,eea79799-a869-4a1f-bfa2-5c85a27716ae___RS_Erly.B 8391.JPG
img_00013.jpg,Tomato___Leaf_Mold,82cf5b68-3353-4384-96fa-5f85772666a7___Crnl_L.Mold 6564_180deg.JPG
img_00014.jpg,Tomato___Late_blight,1b5ec98a-5be3-408c-8d8c-e3042f68e225___RS_Late.B 5016_flipLR.JPG
img_00015.jpg,Tomato___healthy,22ebd26e-0388-4b07-8f48-bffb1680f350___RS_HL 9826.JPG
img_00016.jpg,Tomato___Bacterial_spot,e85d64bf-a47c-4d80-8eb8-9059c1eec9a9___GCREC_Bact.Sp 5790.JPG
img_00017.jpg,Tomato___Late_blight,ccbeb4a7-7a15-4246-9ffa-1807e58b3afc___RS_Late.B 4849.JPG
img_00018.jpg,Tomato___Leaf_Mold,110d3ff1-96ea-43f2-96cb-ac57d0b7dd6b___Crnl_L.Mold 6738_flipTB.JPG
img_00019.jpg,Tomato___Bacterial_spot,92da1c91-9a0e-4124-b596-1a5bb9018048___GCREC_Bact.Sp 5611.JPG
img_00020.jpg,Tomato___Leaf_Mold,cb956960-ad6c-4a87-bee1-dacfc8acb7d8___Crnl_L.Mold 8945_flipTB.JPG
img_00021.jpg,Tomato___Late_blight,31df9041-c8b0-4ebb-93f7-cdac5338723b___GHLB Leaf 3.1 Day 1.JPG
img_00022.jpg,Tomato___Bacterial_spot,1eca836c-208e-40a8-a69c-fb7232d92368___GCREC_Bact.Sp 6110.JPG
img_00023.jpg,Tomato___Bacterial_spot,3cd5b241-d5f1-4ae7-92ea-447613dac98a___GCREC_Bact.Sp 3561.JPG
img_00024.jpg,Tomato___Leaf_Mold,080ae890-cc9c-487e-94a2-f3bcc7decb32___Crnl_L.Mold 7043.JPG
img_00025.jpg,Tomato___Leaf_Mold,6b56547b-6d59-40ef-852a-b3cf29f779b4___Crnl_L.Mold 8902.JPG
img_00026.jpg,Tomato___Bacterial_spot,2224e59e-d71f-4d3e-8d48-7dc90551aeb1___UF.GRC_BS_Lab Leaf 0251.JPG
img_00027.jpg,Tomato___Late_blight,0ab391bd-e5ba-479c-919b-3aa9a94f66db___GHLB2 Leaf 8934_flipLR.JPG
img_00028.jpg,Tomato___Bacterial_spot,ee5192e5-c7fc-402f-ac78-6ae93fd85032___GCREC_Bact.Sp 3323.JPG
img_00029.jpg,Tomato___Late_blight,3db1dcda-3180-432a-9b8e-7ba8a0d6be55___GHLB_PS Leaf 28.3 Day 13_flipLR.JPG
img_00030.jpg,Tomato___Leaf_Mold,c08002a0-531c-46b0-b580-e9419eac30af___Crnl_L.Mold 6518.JPG
img_00031.jpg,Tomato___Late_blight,95ced5b1-cefb-4f18-ba79-d7e2cc32c3a3___RS_Late.B 4901.JPG
img_00032.jpg,Tomato___Bacterial_spot,76bf0511-84d8-4609-94e6-248bea3d1465___GCREC_Bact.Sp 6032.JPG
img_00033.jpg,Tomato___healthy,7d1cbe82-bda7-498a-ac8f-f01a0e279940___RS_HL 9639.JPG
img_00034.jpg,Tomato___Early_blight,5688c1fd-cd1f-4fb5-9e0b-d12c0c095023___RS_Erly.B 9511_180deg.JPG
img_00035.jpg,Tomato___healthy,3b0677fb-ff25-4871-aa89-37f756e917af___GH_HL Leaf 253_newPixel25.JPG
img_00036.jpg,Tomato___healthy,e0987875-8fe2-49ee-8f01-e29281c3d790___RS_HL 0239.JPG
img_00037.jpg,Tomato___Late_blight,06b911b8-1375-4da1-929c-2294c4051ece___GHLB2 Leaf 8883_flipLR.JPG
img_00038.jpg,Tomato___Early_blight,a20bd77c-4ecf-473c-89aa-329b1719fbe1___RS_Erly.B 7639_flipTB.JPG
img_00039.jpg,Tomato___Late_blight,7bf1decf-376a-4ee7-836e-23f60aee5d46___RS_Late.B 6179_flipLR.JPG
img_00040.jpg,Tomato___healthy,13b114fe-22bf-498e-8534-4049123ef655___RS_HL 9775.JPG
img_00041.jpg,Tomato___Early_blight,df86b9f1-3871-4139-be7d-928bd3e6d642___RS_Erly.B 7497_flipTB.JPG
img_00042.jpg,Tomato___Late_blight,5de5dfbd-cd1f-4e5f-a263-256abb97b05b___GHLB_PS Leaf 8.1 Day 13.jpg
img_00043.jpg,Tomato___Early_blight,fee744d4-d0e5-439d-8b7b-04f8394251e8___RS_Erly.B 7396_flipTB.JPG
img_00044.jpg,Tomato___Leaf_Mold,41b84dbf-0402-4480-a0b2-55ab4686dcdf___Crnl_L.Mold 8933_180deg.JPG
img_00045.jpg,Tomato___Leaf_Mold,9667b27d-09e8-4776-97bf-e6088227d26d___Crnl_L.Mold 6670_flipTB.JPG
img_00046.jpg,Tomato___Late_blight,10f6247e-c3d0-4f3f-92aa-f1da76db8086___RS_Late.B 5147.JPG
img_00047.jpg,Tomato___Early_blight,0378db62-5231-4eff-815d-c0deb0043e80___RS_Erly.B 7464_flipTB.JPG
img_00048.jpg,Tomato___Early_blight,77b824b4-8d93-44cf-8e8d-b6433fea90b7___RS_Erly.B 6459.JPG
img_00049.jpg,Tomato___Bacterial_spot,c53b64d9-37ef-4269-b809-00e59c2a033f___GCREC_Bact.Sp 3337.JPG
img_00050.jpg,Tomato___Late_blight,a7cee503-4a3e-42dc-963c-2ae166064f6a___RS_Late.B 5602.JPG
img_00051.jpg,Tomato___Late_blight,747bbf32-921a-4d75-af51-4aa544f70df8___RS_Late.B 5330.JPG
img_00052.jpg,Tomato___Leaf_Mold,fc3b00ae-34b4-41f4-9122-5649f1aca3d8___Crnl_L.Mold 6687_flipTB.JPG
img_00053.jpg,Tomato___healthy,666598c7-f09e-4f8b-baf1-7d99e38de8c9___GH_HL Leaf 430.1.JPG
img_00054.jpg,Tomato___Late_blight,bb058b97-a4b8-4a36-8179-2a8fa186085c___RS_Late.B 4927.JPG
img_00055.jpg,Tomato___Bacterial_spot,b8e606e2-0630-453f-8688-b4350feb2bce___GCREC_Bact.Sp 3033.JPG
img_00056.jpg,Tomato___Leaf_Mold,a72375bd-cec2-462a-8871-19eb0b2bd2dd___Crnl_L.Mold 7139_180deg.JPG
img_00057.jpg,Tomato___Late_blight,c61bce34-b48f-4042-9ca6-f0287ecc3509___RS_Late.B 6970.JPG
img_00058.jpg,Tomato___Early_blight,079e0d43-e9d2-4217-b8e8-2f3b989cdab2___RS_Erly.B 7588_180deg.JPG
img_00059.jpg,Tomato___Late_blight,8d39e8b3-90d8-4533-93a8-fb797fa27a1b___GHLB2 Leaf 8645_flipLR.JPG
img_00060.jpg,Tomato___Early_blight,65568918-2d9c-4f0c-aa9d-3f4fa8b9a60c___RS_Erly.B 7354_flipTB.JPG
img_00061.jpg,Tomato___Leaf_Mold,a05d577d-ebe7-44e3-9ac0-e6e742e34f1a___Crnl_L.Mold 9164_flipTB.JPG
img_00062.jpg,Tomato___Early_blight,38b7f839-7d01-4062-a858-a64b841b7996___RS_Erly.B 7390.JPG
img_00063.jpg,Tomato___healthy,1b966d62-d5c3-4a67-ba36-b67d873ccfdf___GH_HL Leaf 440_newPixel25.JPG
img_00064.jpg,Tomato___Early_blight,5592a349-b19a-4fe8-a131-a89bbae8b655___RS_Erly.B 7474_180deg.JPG
img_00065.jpg,Tomato___Late_blight,77e0bc13-fdcb-4fff-a3e9-17b5d88224a4___GHLB2 Leaf 59.JPG
img_00066.jpg,Tomato___Leaf_Mold,f91b6466-7c71-44ef-86f4-eaf2cdabf8bf___Crnl_L.Mold 7055_180deg.JPG
img_00067.jpg,Tomato___healthy,4b8bc1e8-30e5-41ef-871e-0661d521418d___RS_HL 0445_new30degFlipLR.JPG
img_00068.jpg,Tomato___Leaf_Mold,705e1448-cb1b-4047-802a-a0deb547bc2e___Crnl_L.Mold 8670_180deg.JPG
img_00069.jpg,Tomato___Early_blight,ba75cd48-68cb-49cb-9d79-d03c1b007852___RS_Erly.B 7432.JPG
img_00070.jpg,Tomato___Bacterial_spot,33e336e9-fcd0-4e9c-a0c1-8a313c3ef1f3___UF.GRC_BS_Lab Leaf 0367.JPG
img_00071.jpg,Tomato___Bacterial_spot,f58a3d12-29e7-4f43-a189-fa80df8f8e72___GCREC_Bact.Sp 5691.JPG
img_00072.jpg,Tomato___Early_blight,2312305e-c167-4730-a07a-db5c9956077a___RS_Erly.B 7752_180deg.JPG
img_00073.jpg,Tomato___healthy,1d46ec32-bf0a-4d44-a149-c6fc12920d57___RS_HL 0060_180deg.JPG
img_00074.jpg,Tomato___Bacterial_spot,7c6b8e90-fd14-4f00-b1cc-1f3e9406fd6d___GCREC_Bact.Sp 5764.JPG
img_00075.jpg,Tomato___healthy,3c8a4977-eab9-4639-b12a-c1c42c7258f3___RS_HL 0432.JPG
img_00076.jpg,Tomato___Bacterial_spot,9a8c7e68-6887-40f1-b0f4-94bb5b678264___UF.GRC_BS_Lab Leaf 0399.JPG
img_00077.jpg,Tomato___Bacterial_spot,fdd0012a-bf6a-4c3f-83b7-8e11a58f69d4___GCREC_Bact.Sp 6285.JPG
img_00078.jpg,Tomato___Bacterial_spot,65f6bcbf-a1b7-493d-9558-131850277616___GCREC_Bact.Sp 3307.JPG
img_00079.jpg,Tomato___healthy,e47d2178-aaf3-438b-bcce-2fcb6efd833b___RS_HL 9924.JPG
img_00080.jpg,Tomato___Late_blight,1eacb98a-d88b-4e86-bbb8-19ec6a4e6c67___GHLB2 Leaf 148.2_flipLR.JPG
img_00081.jpg,Tomato___Early_blight,5339898b-4bf4-4ee0-b69c-eac14c202a69___RS_Erly.B 9430_180deg.JPG
img_00082.jpg,Tomato___Leaf_Mold,d61a37fd-71d1-4b5f-a533-74e1bdab3bb8___Crnl_L.Mold 8975.JPG
img_00083.jpg,Tomato___healthy,2e875abf-377c-4663-a406-e02984215fa6___RS_HL 0499_flipTB.JPG
img_00084.jpg,Tomato___Early_blight,4065f166-5f48-4277-9f51-7aa61dbd4b48___RS_Erly.B 8399_180deg.JPG
img_00085.jpg,Tomato___healthy,9662364c-aaba-45e3-b907-10792d60578c___GH_HL Leaf 220.JPG
img_00086.jpg,Tomato___healthy,d5beabbd-afc7-41c5-aa06-ec45c32e751e___GH_HL Leaf 289.1.JPG
img_00087.jpg,Tomato___Late_blight,f08ebd91-a148-4494-a45c-55ebc1bf1f60___GHLB2 Leaf 8942.JPG
img_00088.jpg,Tomato___Bacterial_spot,37d9751a-27aa-4771-a131-5411a43028f5___GCREC_Bact.Sp 3470.JPG
img_00089.jpg,Tomato___Late_blight,fabaa5c5-3180-49b7-b538-d1a31316afd8___GHLB2 Leaf 121.4.JPG
img_00090.jpg,Tomato___Early_blight,815fb4d0-7902-45a2-a7c7-2ee400a2e25a___RS_Erly.B 7646_180deg.JPG
img_00091.jpg,Tomato___Late_blight,8b37de5f-4c98-4880-b1a8-a921178959a9___RS_Late.B 6248.JPG
img_00092.jpg,Tomato___healthy,1d46ec32-bf0a-4d44-a149-c6fc12920d57___RS_HL 0060_new30degFlipLR.JPG
img_00093.jpg,Tomato___Early_blight,dc4cc3e3-0181-48e9-93a2-7c019df0e04b___RS_Erly.B 9513.JPG
img_00094.jpg,Tomato___Late_blight,1b7d11ff-e94c-45cb-9ef2-6430f989e90e___GHLB2 Leaf 120.1_flipLR.JPG
img_00095.jpg,Tomato___Early_blight,fd6417ac-d076-4658-a4f8-6916d781c72a___RS_Erly.B 7360_flipTB.JPG
img_00096.jpg,Tomato___Early_blight,50cd977c-9fa8-4ff2-9a82-9d848f0a8972___RS_Erly.B 7683_180deg.JPG
img_00097.jpg,Tomato___Late_blight,647fc3ec-00a2-4f1a-ad81-a5ed6ac25420___GHLB2 Leaf 8957.JPG
img_00098.jpg,Tomato___Early_blight,0efaac13-1988-48db-aec3-f31df3045b95___RS_Erly.B 8342.JPG
img_00099.jpg,Tomato___Leaf_Mold,171e415f-917b-49c1-90f5-9f4a90ac0f7f___Crnl_L.Mold 8648_180deg.JPG
img_00100.jpg,Tomato___Bacterial_spot,05fc994d-7781-4dc5-a15c-b359f6c681a6___GCREC_Bact.Sp 6304.JPG
img_00101.jpg,Tomato___Bacterial_spot,ec7b4f39-0aff-4fdb-96cd-5c8cbaf3bf34___GCREC_Bact.Sp 2963.JPG
img_00102.jpg,Tomato___healthy,4c0fe9e1-bbe4-40dc-8a83-97a437693a23___RS_HL 0228_new30degFlipLR.JPG
img_00103.jpg,Tomato___Late_blight,19b2b71e-d648-46fb-921d-a7858a1c67c7___GHLB2 Leaf 9102.JPG
img_00104.jpg,Tomato___Leaf_Mold,586436a4-0d4b-4874-82d4-b8708e20706c___Crnl_L.Mold 8972.JPG
img_00105.jpg,Tomato___Early_blight,fbe86131-6873-460e-880a-6ee8576b6bc9___RS_Erly.B 7551_flipTB.JPG
img_00106.jpg,Tomato___healthy,b6714886-142d-44dd-9fda-f9481bb28fcb___RS_HL 9978.JPG
